[49.284518383705, -123.144079496448]
[49.285212009254, -123.143929941772]
[49.285905516284, -123.143821227466]
[49.286422367278, -123.143703599554]
[49.287246862102, -123.143534078941]
[49.287673526749, -123.143489856171]
[49.288138647102, -123.143539606786]
[49.288419879761, -123.143625720393]
[49.288497018507, -123.143723115439]
[49.288528781485, -123.143611806815]
[49.288356353645, -123.143403103145]
[49.288124936385, -123.143229183421]
[49.287911668537, -123.143124831586]
[49.287580420901, -123.143055263696]
[49.287231020298, -123.143027436540]
[49.286827164566, -123.143017001348]
[49.286493640767, -123.143048306899]
[49.286082972310, -123.143149180339]
[49.285810704023, -123.143215269835]
[49.285536165333, -123.143281359331]
[49.285248011509, -123.143319621670]
[49.284978007579, -123.143392667954]
[49.284537829923, -123.143483106213]
[49.284519504869, -123.144045114368]
[49.284520626033, -123.144010732287]
[49.284521747197, -123.143976350206]
[49.284522868362, -123.143941968124]
[49.284523989526, -123.143907586041]
[49.284525110690, -123.143873203957]
[49.284526231854, -123.143838821872]
[49.284527353019, -123.143804439787]
[49.284528474183, -123.143770057701]
[49.284529595347, -123.143735675614]
[49.284530716511, -123.143701293526]
[49.284531837675, -123.143666911438]
[49.284532958840, -123.143632529348]
[49.284534080004, -123.143598147258]
[49.284535201168, -123.143563765168]
[49.284536322332, -123.143529383076]
[49.284537443497, -123.143495000984]
[49.284691790110, -123.144042108173]
[49.284865196515, -123.144004719767]
[49.285038602921, -123.143967331230]
[49.285212009326, -123.143929942561]
[49.284540620403, -123.144074701993]
[49.284562857102, -123.144069907536]
[49.284585093800, -123.144065113076]
[49.284607330499, -123.144060318615]
[49.284629567197, -123.144055524151]
[49.284651803896, -123.144050729685]
[49.284674040594, -123.144045935217]
[49.284696277293, -123.144041140747]
[49.284718513992, -123.144036346275]
[49.284740750690, -123.144031551800]
[49.284762987389, -123.144026757323]
[49.284785224087, -123.144021962845]
[49.284807460786, -123.144017168364]
[49.284829697484, -123.144012373880]
[49.284851934183, -123.144007579395]
[49.284874170882, -123.144002784908]
[49.284896407580, -123.143997990418]
[49.284918644279, -123.143993195926]
[49.284940880977, -123.143988401432]
[49.284963117676, -123.143983606936]
[49.284985354374, -123.143978812438]
[49.285007591073, -123.143974017937]
[49.285029827771, -123.143969223435]
[49.285052064470, -123.143964428930]
[49.285074301169, -123.143959634423]
[49.285096537867, -123.143954839914]
[49.285118774566, -123.143950045402]
[49.285141011264, -123.143945250889]
[49.285163247963, -123.143940456373]
[49.285185484661, -123.143935661856]
[49.285207721360, -123.143930867336]
[49.284528486506, -123.144044957649]
[49.284537468144, -123.144044800929]
[49.284546449781, -123.144044644209]
[49.284555431418, -123.144044487490]
[49.284564413056, -123.144044330770]
[49.284573394693, -123.144044174050]
[49.284582376330, -123.144044017331]
[49.284591357968, -123.144043860611]
[49.284600339605, -123.144043703891]
[49.284609321243, -123.144043547172]
[49.284618302880, -123.144043390452]
[49.284627284517, -123.144043233732]
